level1	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
BAC0441|yfeC|sp|Q56954|YFEC_YERPE	0.000197214394973534	0.000527052742930881	0.000138049908241382	0.000394768535617653	0.000506847749086422	6.76824095390945e-05	0.000488521669776924	0.000360814360446775	0.000471361698471739	0.00031330805706894	0.000472371120935377	0.000454376118116475	0.000189230108478171	8.75218173663393e-05	5.18804741394252e-05	8.61264751255287e-05	0.000128100385193755	1.41628472427507e-05	0.000826573345378637	0.00127806364856648	0.0016353590164021	0.000710061347747683	0.00169164183865655	0.00185528974658013
BAC0442|yfeD|sp|Q56955|YFED_YERPE	0.000142764629357945	0.000290572925261662	1.28032844578696e-05	0.000109047718785818	0.000132310548771778	4.10545524786461e-05	9.13718570642981e-05	0.000185329470639328	0.000320824412946609	0.000187449264913041	0.000281501006056881	0.00024533806928603	3.68495789982331e-05	7.03252099137333e-05	1.26415825098087e-05	3.70192743960606e-05	0.000108184516873387	4.32276802207188e-05	0.00031178793072637	0.000364535873739386	0.000439990661272133	0.000414011624371259	0.000397706704997286	0.00036282003258574
BAC0445|ygiW|sp|P0ADU5|YGIW_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23218467469264e-05	0	0	0
BAC0455|ziaA|sp|Q59998|ATZN_SYNY3	9.53248497202171e-05	0.000205023940091996	0.000347332533805852	0.000182840692104037	0.000293762955105875	0.000512160524519712	0.00028587424390208	0.00034269512574071	0.000186779606651	0.000218484987519136	0.000198080422433289	0.000242111579545372	0.000339322141838185	0.000203081050004684	6.65030962008286e-05	0.000208560738691814	0.000186110404152431	0.000175780872271373	7.599140381818e-05	0.000126888004163531	0.000233840267813668	0.000184175004200647	0.000187618043729101	0.000337261238878558
BAC0458|zipB|tr|Q7WJT8|Q7WJT8_BORBR	0.0065840249143915	0.00812870468611674	0.019969737111766	0.0053479146045694	0.00854562686678631	0.0237662761535956	0.00069840541509202	0.000682934088554597	0.000175846950526818	0.00115922811182509	0.000484803596186814	0.000115643218591659	0.00115331579802783	0.000532042486151977	0.00338319584832437	0.001257936508604	0.000554861047904893	0.00215521065365989	0.000530928534281011	0.000446234498620033	0.000163178255421376	0.000756438124423166	0.000478758667615111	0.000136445743148449
BAC0459|zitB/ybgR|sp|P75757|ZITB_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23083930594939e-05	0	0	0	2.32804629597292e-05	0	0	0	1.27569321760415e-05	0	2.56873633991782e-05
BAC0461|zntA/yhhO|sp|P37617|ATZN_ECOLI	0.000171215502740001	4.75548471154229e-05	5.15236892276631e-05	0.000134421064246294	6.49289790680877e-05	5.3095398428454e-05	4.35040395063999e-05	4.99714631483662e-06	2.88608086867917e-05	5.04730192819131e-05	1.56221907168195e-05	3.06744923578079e-05	0.000155742329270196	0.000253419455202275	3.66521701917326e-05	6.41768568423509e-05	0.000406024472650835	4.05295413411913e-05	0.000130630800495464	9.3908538902418e-05	9.32785536241557e-05	0.000144902090614426	5.15863456870221e-05	4.90252728289194e-05
BAC0462|zntR/yhdM|sp|P0ACS5|ZNTR_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018476176225548	0	0	6.81486062019021e-05
BAC0464|znuB/yebI|sp|P39832|ZNUB_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94425601107128e-05	0	0	0
BAC0465|znuC/yebM|sp|P0A9X1|ZNUC_ECOLI	1.84642959437372e-05	2.26327600730275e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62435444223381e-05	0	0	0	0	0	0
BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI	0.000493483185608377	0.000457984988787053	0.00138384254736804	0.000650409698617192	0.000645140884925862	0.00136228849838263	0.000704526109883944	0.000447512501791128	0.000347557789379204	0.000664775428780892	0.000564425145417752	0.000417823951649289	0.000701599063401308	0.000794898291059417	0.000679323815227346	0.000910120120186142	0.000579885659781519	0.000764793751108537	0.000401299646749051	0.000661324298469069	0.00052427721143413	0.000346382714023065	0.000338067311892012	0.000488918707259835
BAC0468|zraS/hydG|sp|P14377|ZRAS_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12952690244635e-05	0	0	2.10861388511481e-05
BAC0469|zupT/ygiE|sp|P0A8H3|ZUPT_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56193799127669e-05	0	0	0	2.00282260484359e-05	0	0	0
BAC0470|zur/yjbK|sp|P0AC51|ZUR_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02018022742459e-05	0	0	8.02753005385814e-05
BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA	1.40050802227582e-05	2.28891204553944e-05	7.49793056095294e-06	4.5882630625169e-06	2.85626122837201e-05	3.92695719360963e-06	8.73991676267199e-06	2.06162461491327e-05	0	5.99022650917762e-06	1.20308478074263e-05	0	0.000113672940431506	6.97987952989599e-05	2.22189553460441e-05	0.000136703059653858	8.1300317437958e-05	2.86643712673932e-05	1.47941825397723e-05	2.42224787129715e-05	1.49195770853566e-05	2.31473609918898e-05	2.19128001456679e-05	4.73674133612747e-06
BAC0482|dmeF|tr|Q1MJL2|Q1MJL2_RHIL3	8.85327779292953e-05	0.000216665330917134	3.36362271913957e-05	5.85152694533309e-05	0.000341913427381065	6.42271781714114e-05	0.000152030484863286	4.98830571985239e-05	5.19479112746395e-05	9.75403566571498e-05	0.000112505568316051	4.03031590088228e-05	5.18838934947065e-05	4.99982142551597e-05	3.53563145504594e-05	3.36955624533802e-05	3.99535419494086e-05	1.34283961860446e-05	0.000157050899059825	0.000153668984629375	0.000176594362373493	0.000481483300174836	0.000176074485494154	0.000236474845410082
BAC0484|hupE2|tr|D2WPE1|D2WPE1_RHILV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80809568937402e-05	0	0	6.53875171069206e-05	0	0	0	0	0	0
