gene	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
AF191564.1.gene5.p01	0.0001520194294587	0.0003109847575903	0	4.84778669199056e-05	0	0	0	0	0	6.45821295520711e-05	0	4.5504475530795e-05	0.0001163784555471	5.60743861264468e-05	7.98493707748472e-05	0	0.0002016405320259	0.0001346392548428	0.0003233396910956	5.15979085991415e-05	0	0.0001066484981597	5.8762037827176e-05	0
AF313472.2.gene15.p01	0	0.0006057009225759	0	0	0.0002200902304432	0	0	0	0	0	0	0	0.0012104853803299	0	0	0.0017869078966907	0	0	0	0.0002214888440669	0	0	6.467731748921e-05	5.39828846880243e-05
AF332662.1.gene1.p01	0	0	0	0	0	0	0	0	0	0	0	0	4.14814296999759e-05	0	0	0	0	0	0	0	0	0	0	0
AF353562.gene.p01	3.76791730233988e-05	0	0	0.0001019265853009	0	0	0.0015023825557018	0.0007257760123929	3.11000343331724e-05	0.0013897534219985	0.0006043120604116	0.0001235945950026	0	0	0.0001068367887719	3.61163652644496e-05	0	8.67474393618489e-05	6.7748372008913e-05	3.45184615018647e-05	0	7.32493099555742e-05	3.83752083769313e-05	3.74664686660039e-05
AGC41079.1	5.68441491394304e-05	0.0007678709137166	0.0015164652770475	5.5868850231824e-05	0.0012144437537076	0.000882612503949	0.0001596320091064	0.0001475459940488	0	7.29398169058685e-05	0.0001494829229374	0	0.0001287567642644	0.0001241288999241	8.92625859130104e-05	0.0001946778312357	7.1264072783231e-05	9.28707880226853e-05	0.000772032551025	0.0002866192589074	0.0001742527796679	0.0003493051986785	0.0009345491922382	0.0006159881338974
AJ250876.1.gene1.p01	0	0	0	0	0	0	0	0	0	0	0	0	0.0003073762153226	0.0007982721216866	0.0001797074963034	0.0005134667078415	0.0008313569855679	0	0.0003283116122653	0.0001775469239319	0	0.000187593358282	0.0001639447193318	0
AJ251806.1.gene1.p01	0	0	0	0	0	0	0	0	0	0	0	0	4.14814296999759e-05	0	0	0	0	0	0	0	0	0	0	0
AUI09862.1	0.0011503027776505	0.0005584380609433	0.0011535082851944	0.0018525487808925	0.0009735185424526	0.0012400316581524	0.0015244669574768	0.002684713748421	0.000667035151964	0.0012789493530351	0.0025142038029871	0.0003479522711528	0.0003765686724893	0.0001643077204073	0.0001136503594844	0.00065009457476	0.0003372385204614	8.70496952481271e-05	0.0029615716906753	0.0023659235296737	0.0020412597656785	0.0021361211104576	0.002353857729155	0.0012012045941915
AY139603.1.gene1.p01	5.51150495458356e-05	0	0	0	6.7168361400765e-05	0	0	0	0	0	0	0	0	0.0001829858598827	4.46120485434081e-05	0	0.0002959126050806	4.84862113543414e-05	0	0	0	0	0	0
AY162283.2.gene7.p01	0.0008761491973414	0.000875801767709	0.0003116865150809	0.0003067291466006	0.0010224467298004	0.0002068291337474	0.0001482920303174	7.13878044976667e-05	6.98360308964345e-05	0.0003069865830297	0.0001041479381121	0.0001403626576372	0.0007419564566432	0.0019944096416383	0.0007629635427666	0.0011761205537633	0.0010707388840131	0.0007010899607441	0.0010091869685335	0.0006545977564668	0.0005080093535838	0.0008257740762428	0.0013022406777089	0.0001591312134446
